index,group,calories,lipids,carbohydrates,protein,name
124,4,192.93,8.24,15.56,7.97,"CHICHARRON DE HARINA PREPARADO CON CUERITOS Y VERDURA, PREPARACION ESTANDARIZADA"
125,4,139.14,18.47,6.15,2.67,"DORILOCOS (FRITURAS DE MAIZ CON VERDURA, CREMA, QUESO, CUERITOS, ETC), PREPARACION ESTANDARIZADA"
126,4,497.96,66.26,26.7,1.73,"FRITURA DE FRUTAS Y VERDURAS (PLATANOS, MANZANAS, ETC)"
127,4,502.71,55.69,27.06,6.69,"FRITURAS DE MAIZ PROMEDIO (FRITOS, DORITOS, ETC.)"
128,4,519,60.81,27.42,7.36,FRITURAS DE MAIZ SABOR NACHOS
129,4,445,71.6,15.2,8.7,FRITURAS DE MAIZ SABOR QUESO BAJO EN GRASA
130,4,387,77.78,4.54,12.94,PALOMITAS DE MAÍZ DE AIRE (SIN ACEITE)
131,4,472.25,54.74,24.99,8.48,PALOMITAS DE MAIZ PROMEDIO (INDUSTRIALIZADAS Y CASERAS)
132,4,476.61,59.76,24.46,4.35,PAPAS (STICKS TODAS MARCAS)
133,4,516.03,52.98,31.33,6.09,"PAPAS EN HOJUELAS (TODAS MARCAS: SABRITAS, BARCEL, ETC.)"
134,4,457,68.26,15.2,11.79,PITA CHIPS
135,4,384,80.39,2.93,10.04,PRETZELS
136,5,7.58,1.89,0.03,0.16,"AGUA / LICUADO DE FRUTAS SIN AZUCAR Y SIN LECHE, PREPARACION ESTANDARIZADA"
137,5,36.19,8.27,0.24,0.42,"AGUA DE AVENA, PREPARACION ESTANDARIZADA"
138,5,18,4.24,0,0.22,AGUA DE COCO INDUSTRIALIZADA
139,5,19,3.71,0.2,0.72,"AGUA DE COCO, NATURAL"
140,5,66.24,8.08,3.22,1.4,"AGUA DE FRESA CON CREMA, PREPARACION ESTANDARIZADA"
141,5,32.03,6.83,0.42,0.44,"AGUA DE FRUTAS (PROMEDIO), PREPARACION ESTANDARIZADA"
142,5,4.77,1.19,0,0,"AGUA DE FRUTAS, INDUSTRIALIZADA (FRUTSI, PAU PAU)"
143,5,10.42,2.07,0.16,0.18,"AGUA DE GUAYABA SIN AZUCAR, PREPARACION ESTANDARIZADA"
144,5,22.5,5.34,0.12,0.13,"AGUA DE GUAYABA, PREPARACION ESTANDARIZADA"
145,5,71.5,13.13,1.85,1.06,"AGUA DE HORCHATA, INDUSTRIALIZADA"
146,5,72.27,14.65,0.69,1.41,"AGUA DE HORCHATA, PREPARACION ESTANDARIZADA"
147,5,16.62,3.5,0.03,0.33,"AGUA DE JAMAICA SIN AZUCAR, PREPARACION ESTANDARIZADA"
148,5,25.21,6.14,0.01,0.16,"AGUA DE JAMAICA, PREPARACION ESTANDARIZADA"
149,5,10.6,3.72,0.07,0.25,"AGUA DE LIMON SIN AZUCAR, PREPARACION ESTANDARIZADA"
150,5,25.61,7.48,0.06,0.22,"AGUA DE LIMON, PREPARACION ESTANDARIZADA"
151,5,6.27,1.39,0.02,0.13,"AGUA DE MELON SIN AZUCAR, PREPARACION ESTANDARIZADA"
152,5,18.77,4.65,0.02,0.11,"AGUA DE MELON, PREPARACION ESTANDARIZADA"
153,5,27.51,5.67,0.25,0.63,"AGUA DE NARANJA SIN AZUCAR, PREPARACION ESTANDARIZADA"
154,5,35.81,7.9,0.24,0.6,"AGUA DE NARANJA, PREPARACION ESTANDARIZADA"
155,5,9.51,2.19,0.02,0.14,"AGUA DE PAPAYA SIN AZUCAR, PREPARACION ESTANDARIZADA"
156,5,21.97,5.45,0.02,0.11,"AGUA DE PAPAYA, PREPARACION ESTANDARIZADA"
157,5,7.35,1.93,0.02,0.08,"AGUA DE PINA SIN AZUCAR, PREPARACION ESTANDARIZADA"
158,5,20.2,5.24,0.01,0.06,"AGUA DE PINA, PREPARACION ESTANDARIZADA"
159,5,27.83,7.06,0,0.1,"AGUA DE SABOR PREPARADA CON POLVO Y AZUCAR, PREPARACION ESTANDARIZADA"
160,5,0,0,0,0,AGUA DEL GRIFO HERVIDA
161,5,0,0,0,0,AGUA DEL GRIFO SIN HERVIR
162,5,0,0,0,0,"AGUA DEL MANANTIAL, RIO, OJO DE AGUA HERVIDA"
163,5,0,0,0,0,"AGUA DEL MANANTIAL, RIO, OJO DE AGUA SIN HERVIR"
164,5,0,0,0,0,AGUA EMBOTELLADA O GARRAFON
165,5,0,0,0,0,AGUA MINERAL
166,5,0,0,0,0,AGUA PARA BEBE (GERBER)
167,5,4,0.9,0,0.04,"AGUA PREPARADA CON CLIGHT, PREPARACION ESTANDARIZADA"
168,5,40,10,0,0,AGUA QUINA
169,5,13.47,3.37,0,0,AGUA SABORIZADA LIGHT O BAJA EN AZUCAR (LEVITE)
170,5,0,0,0,0,AGUA SOLA
171,5,128.91,20.11,3.53,4.27,"ATOLE  DE  AVENA CON LECHE, PREPARACION ESTANDARIZADA"
